"","facility_name","facility_type_display","maternal_health_delivery_services","emergency_transport","skilled_birth_attendant","num_chews_fulltime","phcn_electricity","c_section_yn","child_health_measles_immun_calc","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","date_of_survey","facility_id","community","ward","management","improved_water_supply","improved_sanitation","vaccines_fridge_freezer","antenatal_care_yn","family_planning_yn","malaria_treatment_artemisinin","sector","formhub_photo_id","gps","survey_id","state","lga","new","another","latitude","longitude"
"15","P.H.C.","Basic Health Centre or Primary Health Clinic",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,"2014-04-27","HDYMX","Kabe","Pissa Kabe","public",FALSE,FALSE,NA,NA,NA,NA,"health","1398435236614.jpg","10.758094999999999 4.135015 246.0 4.8","a6c88c52-1217-4864-9402-667a3c5d40ff","niger","borgu",NA,NA,10.758095,4.135015
"16","P.H. C.","Primary Health Centre (PHC)",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,"2014-04-27","HDSNG","Kurwasa","Rafi","public",FALSE,FALSE,NA,NA,NA,NA,"health","1398347027645.jpg","9.957086666666667 4.529836666666667 160.6 4.8","948722f6-0afd-4636-8c32-1a5cb9c3394f","niger","borgu",NA,NA,9.95708666666667,4.52983666666667
"17","Fakun","Primary Health Centre (PHC)",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,"2014-04-27","HNGMV","Rafi","P H C","public",FALSE,FALSE,NA,NA,NA,NA,"health","1398344499233.jpg","9.853473333333334 4.613021666666667 128.2 4.8","7ba7ba41-2ffc-4321-b941-a75f17401711","niger","borgu",NA,NA,9.85347333333333,4.61302166666667
"18","Primary Health Clinic","Basic Health Centre or Primary Health Clinic",TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-04-27","HPROI","Dugga Mashaya","Dugga","public",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health","1398337310863.jpg","10.483728333333334 4.474191666666667 169.4 5.0","5d015ea8-b21e-48d7-9814-865933a4c57c","niger","borgu",NA,NA,10.4837283333333,4.47419166666667
"19","Komi na Allah ni Maternity Home Lumma Sanke","Primary Health Centre (PHC)",TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,1,1,1,"2014-04-27","HPLAS","Lumma Sanke","Shagunu","private",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"health","1398356332123.jpg","10.320866666666666 4.258583333333333 244.4 4.8","d2b0b461-fc6d-4698-b452-ae0dd17198f3","niger","borgu",NA,NA,10.3208666666667,4.25858333333333
"20","Primary Health Clinic Lumma Sanke","Basic Health Centre or Primary Health Clinic",TRUE,TRUE,FALSE,5,FALSE,FALSE,TRUE,0,0,0,"2014-04-27","HWQDA","Lumma Sanke","Shagunu","public",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"health","1398355493152.jpg","10.323215000000001 4.259035 229.1 4.9","3b2d43af-421c-49e0-8187-fda8aa42d96d","niger","borgu",NA,NA,10.323215,4.259035
"21","Basic  health clinic","Basic Health Centre or Primary Health Clinic",TRUE,TRUE,FALSE,1,FALSE,FALSE,TRUE,1,0,0,"2014-04-27","HVUCU","Konkoso","Konkoso","public",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health","1398438221361.jpg","9.954583333333334 4.299041666666667 291.6 5.0","1a167b3f-5284-4a94-9d44-d0b64a62aeb2","niger","borgu",NA,NA,9.95458333333333,4.29904166666667
"22","Dispensary","Dispensary",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,"2014-04-27","HWMBZ","Majeme","Kura","public",FALSE,FALSE,NA,NA,NA,NA,"health","1397039188949.jpg","10.225806666666667 4.997468333333333 182.7 4.9","f1adfd00-5e92-4b74-920d-ca9c50a4ccad","niger","magama",NA,NA,10.2258066666667,4.99746833333333
"23","Model Primary Health Centre Swashi","Primary Health Centre (PHC)",TRUE,TRUE,FALSE,4,FALSE,FALSE,TRUE,0,0,0,"2014-04-27","HIBVB","Swashi","Shagunu","public",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"health","1398352748595.jpg","10.406026666666666 4.290001666666667 167.1 4.6","79fa7c7a-d5e8-4d13-b97f-04ff4213ecb1","niger","borgu",NA,NA,10.4060266666667,4.29000166666667
"24","Primary Health Clinic","Basic Health Centre or Primary Health Clinic",TRUE,FALSE,FALSE,3,FALSE,FALSE,TRUE,0,0,0,"2014-04-26","HPXWT","UJIJI","DUGGA","public",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health","1398341239364.jpg","10.553785000000001 4.46302 176.5 4.9","94df33b9-5d85-40c0-ac78-02d9eaa1827e","niger","borgu",NA,NA,10.553785,4.46302
"25","Phc","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,0,0,0,"2014-04-26","HEALZ","Tungan demu","Pissa kabe","public",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"health","1398430321639.jpg","10.621855000000002 4.305166666666667 282.3 4.8","fdb0f5d5-bffc-4f9f-ab61-4e1eaf129265","niger","borgu",NA,NA,10.621855,4.30516666666667
"26","Phc","Primary Health Centre (PHC)",TRUE,TRUE,FALSE,1,FALSE,FALSE,TRUE,1,0,0,"2014-04-26","HVLMO","Garunji","Babanna","public",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health","1398343469195.jpg","10.424624999999999 3.899268333333333 296.7 4.9","90996255-6759-413f-9302-3f4ea0a0c378","niger","borgu",NA,NA,10.424625,3.89926833333333
"27","Phc","Primary Health Centre (PHC)",TRUE,TRUE,FALSE,12,FALSE,FALSE,TRUE,1,0,0,"2014-04-26","HZCIR","Babanna","Babanna","public",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health","1398337096434.jpg","10.428461666666665 3.8169199999999996 290.5 4.8","eafbfa33-ad08-4d70-b6a8-8fdf9118359c","niger","borgu",NA,NA,10.4284616666667,3.81692
"28","Dugga Health Clinic","Basic Health Centre or Primary Health Clinic",TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,0,0,0,"2014-04-26","FAKYH","Dugga","Dugga","public",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"health","1398335604464.jpg","10.479244999999999 4.455839999999999 209.1 4.9","e2bf0688-5df8-4a78-91c0-0c746f573774","niger","borgu",NA,NA,10.479245,4.45584
"29","Phc","Primary Health Centre (PHC)",TRUE,TRUE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-04-26","HNPPW","Marami","Babanna","public",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health","1398334980732.jpg","10.480220000000001 3.8960850000000002 295.0 4.4","da5884c0-e944-47cc-a0cb-7b13d12ac87c","niger","borgu",NA,NA,10.48022,3.896085
"30","Primary Health Clinic","Basic Health Centre or Primary Health Clinic",TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,0,0,0,"2014-04-26","HPPYX","Yumu","Dugga","public",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"health","1398332188938.jpg","10.433425 4.451865 158.3 4.8","fac919ad-b0ed-41d3-be48-96cff3d3b67b","niger","borgu",NA,NA,10.433425,4.451865
"31","UNITY PRIMARY HEALTH CENTER","Primary Health Centre (PHC)",TRUE,TRUE,TRUE,0,TRUE,FALSE,TRUE,1,1,1,"2014-04-25","HGMKW","CHIMBI","CHIMBI WARD","private",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"health","1325789775484.jpg","9.472005 7.001023333333334 549.5 4.1","8e58d172-e7dd-4d5f-b6ce-dd12a508e5cc","niger","paikoro",NA,NA,9.472005,7.00102333333333
"32","Divine primary Health care Centre","Primary Health Centre (PHC)",FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,0,0,0,"2014-04-25","HEKNC","Erena","Erena","private",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"health","1396602997625.jpg","10.072556666666665 6.740178333333334 319.8 5.0","ee46641b-7889-4ce5-9cb8-673c92313103","niger","shiroro",NA,NA,10.0725566666667,6.74017833333333
"33","PHC Ekun","Basic Health Centre or Primary Health Clinic",TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE,1,0,0,"2014-04-24","HUQPU","Ekun","Chimbi","public",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health","1397311362944.jpg","9.43767 6.978623333333333 557.3 4.9","43944bb9-1dd2-4cda-8911-5f8d25b838ef","niger","paikoro",NA,NA,9.43767,6.97862333333333
"34","Maiwi PHC","Primary Health Centre (PHC)",TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,"2014-04-28","HJTVV","Maiwi","Maikunkele","public",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health","1325398034469.jpg","9.759205 6.4773716666666665 261.1 4.6","ecbcdd7e-4b5a-43a7-ba33-ae93589e856f","niger","bosso",NA,NA,9.759205,6.47737166666667
"35","Kiola PHC","Primary Health Centre (PHC)",FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,"2014-04-28","HFWTH","Kiola","Maikunkele","public",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"health","1325396370114.jpg","9.728415 6.4560699999999995 311.0 4.9","d7627d3c-4798-4eec-bea5-524d1cc9677f","niger","bosso",NA,NA,9.728415,6.45607
"36","Tsohon. Daga p h c","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,0,0,0,"2014-04-27","HHCNT","Tsohon daga","Garatu","public",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"health","1397518253265.jpg","9.476429999999999 6.475961666666666 216.6 4.3","81124949-eb23-4136-a27d-ad070c0f8578","niger","bosso",NA,NA,9.47643,6.47596166666667
"37","P H  C YINFA","Health Post",TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-04-20","HPFMW","YINFA","GBARA","public",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health","1397052222141.jpg","8.768756666666667 5.9751650000000005 98.5 4.7","45d602d0-bc63-48a4-9690-94eaef5372e1","niger","mokwa",NA,NA,8.76875666666667,5.975165
"38","Gara health post","Health Post",TRUE,TRUE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-04-20","HPXZW","Gara","Guzan","public",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health","1396951502806.jpg","9.096506666666667 5.540721666666667 188.3 4.6","0c428569-c0d4-47cc-a810-0be61e267fa1","niger","edati",NA,NA,9.09650666666667,5.54072166666667
"39","LEEMP GWALO KASU","Primary Health Centre (PHC)",FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,0,0,0,"2014-04-19","HIPVT","GWALO KASU","CHIMBI","public",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"health","1397312251552.jpg","9.415875 6.993124999999999 484.4 4.9","0e996750-cd1c-493e-9832-8a0ca33e05b3","niger","paikoro",NA,NA,9.415875,6.993125
"40","P H C ZABEIDNA","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,0,0,0,"2014-04-19","HYZNS","Zabeidna","Kabo","public",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health","1397233341764.jpg","9.37962 7.235774999999999 548.4 5.0","584b9e65-b2f5-4ca2-b126-ae770b081e18","niger","gurara",NA,NA,9.37962,7.235775
"41","Dispensary","Dispensary",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,"2014-04-19","EOFSA","Gyengi","Anaba","public",FALSE,FALSE,NA,NA,NA,NA,"health","1396949406913.jpg","10.621081666666665 5.103458333333333 282.7 5.0","5d84d189-2690-4aa4-9440-db8800f27088","niger","magama",NA,NA,10.6210816666667,5.10345833333333
"42","PRIMARY HEALTH CLINIC KAMBARI","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,0,0,0,"2014-04-19","HWLTD","KAMBARI","KONGOMA CENTRAL","public",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health","1396783587852.jpg","10.326981666666667 6.462531666666666 487.3 4.8","75eacf1b-1399-4ff5-8d9b-8f5dbf9a6e9d","niger","rafi",NA,NA,10.3269816666667,6.46253166666667
"43","Sauki Clinic and Matetnity, New Bussa","Basic Health Centre / Primary Health Clinic",TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,3,2,1,"2014-02-27","HBHEE","New Bussa","Bussa","private",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"health","1393407611462.jpg","9.88054116 4.51604533 219.39999389648438 5.0","38e505c8-a0e8-448c-bba1-cc1ddd713c53","niger","borgu",NA,NA,9.88054116,4.51604533
"44","Tandigi primary healthcare","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-04-19","HVXSG","Tandigi","Kodo","public",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"health","1397481565096.jpg","9.527198333333333 6.3188450000000005 173.0 5.0","0c95d439-9ffa-41c3-a9d2-42479cdf15e3","niger","bosso",NA,NA,9.52719833333333,6.318845
"45","HEALTH POST","Health Post",TRUE,TRUE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-04-20","HJNHH","MAKERA","KODO","public",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"health","1396629838087.jpg","9.543496323833311 6.202199762312084 209.0 5.0","364ab17c-993e-4798-a4ba-63bc376dd330","niger","wushishi",NA,NA,9.54349632383331,6.20219976231208
"46","Primary Health Clinic Amboshidi","Basic Health Centre or Primary Health Clinic",TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,0,0,0,"2014-04-26","HWEYD","Amboshidi","Shagunu","public",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health","1398341035194.jpg","10.315053333333333 4.476518333333333 145.4 4.6","34848313-3b49-4864-a5b4-9c64cc3d0300","niger","borgu",NA,NA,10.3150533333333,4.47651833333333
"47","Dispensary","Dispensary",TRUE,FALSE,FALSE,3,FALSE,FALSE,TRUE,0,0,0,"2014-04-18","HGAON","GWAGWADE","SALKA","public",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health","1396881905963.jpg","10.394213333333333 4.930891666666667 306.1 5.0","9e9511ab-e871-4c2b-8697-9ce36bb78e61","niger","magama",NA,NA,10.3942133333333,4.93089166666667
"48","Primary Health Clinic","Primary Health Centre (PHC)",TRUE,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,0,1,"2014-04-18","HKMBS","BAKATARA","BUSURU","public",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"health","1396612151098.jpg","10.74256 4.380466666666666 180.3 4.4","22b9b565-211e-48bc-ac30-d99135d12f37","niger","agwara",NA,NA,10.74256,4.38046666666667
"49","PHCC MUTUN DAYA","Dispensary",TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,0,0,"2014-04-18","HOJDX","MUTUN DAYA","PINA /SHE","public",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health","1396614470997.jpg","9.691925 6.78303 452.1 5.0","deb1b653-6260-4fb0-86c7-40c3b4c19112","niger","shiroro",NA,NA,9.691925,6.78303
"50","FREEDOM CLINIC","Primary Health Centre (PHC)",TRUE,TRUE,TRUE,3,TRUE,FALSE,FALSE,0,1,1,"2014-04-19","HSLEI","GAURAKA","ZUMA EAST","private",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"health","1396888997279.jpg","9.17509 7.217036666666667 506.9 4.7","815d4443-32cf-42c9-890e-d78f6bd9a407","niger","tafa",NA,NA,9.17509,7.21703666666667
"51","AMANA HEALTH CARE CENTRE","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,2,0,0,"2014-04-18","HJMIZ","DANDAUDU","DANDAUDU","private",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"health","1396690764735.jpg","9.65944 6.869151666666666 441.1 5.0","f7c2db5e-680e-4f4b-994d-fa2e2838f903","niger","munya",NA,NA,9.65944,6.86915166666667
"52","Kampala Phc","Primary Health Centre (PHC)",FALSE,FALSE,FALSE,3,FALSE,FALSE,TRUE,0,0,0,"2014-04-18","HCCZO","Kampala","Kampala","public",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"health","1397478189431.jpg","9.668596666666668 6.4133249999999995 332.0 4.5","e53fe7c4-44fd-46ad-8fd4-406cbc49ac1c","niger","bosso",NA,NA,9.66859666666667,6.413325
"53","B H C Numba Tukura","Basic Health Centre or Primary Health Clinic",FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,0,0,0,"2014-04-18","HNRXZ","Numba Tukura Village","Maje","public",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"health","1397046221839.jpg","9.27813441 7.1722454 523.0 5.0","b67a2200-3ca8-4aa2-9edc-17fc14329a5d","niger","suleja",NA,NA,9.27813441,7.1722454
"54","P H C Awasha","Primary Health Centre (PHC)",TRUE,TRUE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-04-18","HXHCC","Awasha","Egwa/ Gwada","public",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health","1396602917902.jpg","9.85117244 6.81578036 435.1000061035156 5.0","81953093-3818-4e76-a2d7-6f1445b85d87","niger","shiroro",NA,NA,9.85117244,6.81578036
"55","PHC Gbaiko","Primary Health Centre (PHC)",FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,0,0,0,"2014-04-18","HVFRB","Gbaiko","Egwa/ Gwada","public",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"health","1396601453027.jpg","9.83009453 6.78210648 380.20001220703125 21.0","2b3a50a5-fd26-4747-ad6c-abc6239452c8","niger","shiroro",NA,NA,9.83009453,6.78210648
"56","PHC Gijiwa","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-04-18","HYMYU","Gijiwa","Gijiwa/ Kato","public",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"health","1396523913474.jpg","9.95864583 6.54164469 258.8999938964844 5.0","79610117-b81b-466b-9e98-ce85330a15a8","niger","shiroro",NA,NA,9.95864583,6.54164469
"57","Kuyi Phc","Primary Health Centre (PHC)",FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,0,0,0,"2014-04-18","HCOCD","Kuyi","Kampala","public",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"health","1397476244631.jpg","9.665339999999999 6.4311549999999995 292.1 4.6","83dc20a7-eb9b-468c-b90c-d0813b3958f7","niger","bosso",NA,NA,9.66534,6.431155
"58","Primary Health Care Centre","Primary Health Centre (PHC)",FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,0,0,0,"2014-04-18","HTTNF","Owu","Pina / She","public",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"health","1396618872164.jpg","9.721346666666667 6.68017 333.9 4.9","760293aa-03dd-428b-8c0e-55dd14550f0e","niger","shiroro",NA,NA,9.72134666666667,6.68017
"59","DELIGHT HOSPITAL","General Hospital",TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,4,2,3,"2014-04-18","HQVML","BAGAMA B","BAGAMA B","private",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"health","1397037952019.jpg","9.190249999999999 7.186395000000001 367.9 4.9","e47bd51d-bb0c-468a-b129-2794d8ddaef0","niger","suleja",NA,NA,9.19025,7.186395
"60","HEALTH POST USHIBA","Health Post",FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,0,0,0,"2014-04-17","HRQWD","USHIBA","KONGOMA WEST","public",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"health","1396795596097.jpg","10.341286666666667 6.34914 418.6 4.8","e137b4ba-250c-42dd-bfc7-a878b4c323b0","niger","rafi",NA,NA,10.3412866666667,6.34914
"61","Lafiya Primary HealthCare Centre","Primary Health Centre (PHC)",FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,0,0,0,"2014-04-17","HNZQU","Kafa","Gijiwa Kato","private",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"health","1396522490938.jpg","9.856193333333332 6.570561666666666 265.6 4.5","f1c1177f-6de0-496b-99e2-f3d84c03463a","niger","shiroro",NA,NA,9.85619333333333,6.57056166666667
"62","BHC GUNU","Basic Health Centre or Primary Health Clinic",TRUE,FALSE,TRUE,17,TRUE,FALSE,TRUE,0,4,0,"2014-04-17","HWPIA","GUNU","PANA/SHE","public",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"health","1396612112557.jpg","9.666116666666666 6.720915000000001 378.1 5.0","fbde5b5f-31a1-4cc2-b853-cace725b4826","niger","shiroro",NA,NA,9.66611666666667,6.720915
"63","PRIMARY HEALTH CARE KUDNA","Primary Health Centre (PHC)",TRUE,FALSE,FALSE,5,FALSE,FALSE,TRUE,0,0,0,"2014-04-17","HJEGP","KUDNA","TUFA","public",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"health","1397166266892.jpg","9.177051666666667 6.780586666666666 288.5 4.8","35240464-69cc-4e0f-acc0-1db9cfd74a0b","niger","gurara",NA,NA,9.17705166666667,6.78058666666667
